# doc_id	method	coverage	matched/total — below threshold, need a look
19425	marker	0.46	11/24
1943	marker	0.05	10/204
19457	marker	0.33	17/51
19607	marker	0.36	4/11
19625	marker	0.11	17/149
19707	marker	0.28	14/50
19758	marker	0.37	21/57
19773	marker	0.21	4/19
19784	marker	0.43	3/7
19854	marker	0.14	30/216
19882	marker	0.43	16/37
19890	marker	0.14	1/7
19909	marker	0.00	0/1
19939	marker	0.37	7/19
19940	marker	0.34	14/41
2066	marker	0.17	47/270
20821	marker	0.43	55/129
2093	marker	0.00	0/8
2110	marker	0.31	18/58
21135	marker	0.15	15/97
21143	marker	0.26	11/42
21215	marker	0.05	7/134
21216	marker	0.10	4/39
21239	marker	0.37	19/52
21337	marker	0.07	4/59
21365	marker	0.00	0/22
21367	marker	0.00	0/169
21510	marker	0.28	23/82
21631	marker	0.00	0/34
21683	marker	0.22	16/74
21729	marker	0.47	16/34
21747	marker	0.00	0/60
21748	marker	0.36	4/11
21801	marker	0.00	0/11
21806	marker	0.00	0/45
21862	marker	0.38	5/13
21895	marker	0.00	0/57
21949	marker	0.47	8/17
21988	id	0.00	0/9
22011	marker	0.31	27/88
22058	marker	0.00	0/5
22082	marker	0.00	0/84
22093	marker	0.00	0/30
22111	marker	0.03	2/79
22146	marker	0.00	0/52
22160	marker	0.40	12/30
22161	marker	0.00	0/6
22170	marker	0.40	6/15
22173	marker	0.44	12/27
22177	marker	0.38	27/72
22183	marker	0.41	9/22
22213	marker	0.05	3/57
22214	marker	0.00	0/54
22225	marker	0.46	18/39
22228	marker	0.00	0/9
22229	marker	0.00	0/15
22251	marker	0.14	47/346
22254	marker	0.00	0/50
22281	marker	0.00	0/115
22283	marker	0.05	11/202
22299	marker	0.02	3/142
22374	marker	0.04	3/82
22437	marker	0.00	0/56
22446	marker	0.25	3/12
22473	marker	0.00	0/4
22477	marker	0.37	40/108
22499	marker	0.16	24/153
22502	marker	0.47	7/15
22507	marker	0.09	3/34
22540	marker	0.00	0/5
22542	marker	0.00	0/14
22548	marker	0.42	11/26
22599	marker	0.00	0/23
22603	marker	0.38	11/29
22617	marker	0.31	5/16
22628	marker	0.07	1/14
22656	marker	0.00	0/80
22658	id	0.33	1/3
22662	marker	0.00	0/4
22663	marker	0.16	10/61
22665	marker	0.42	5/12
22672	marker	0.00	0/17
22673	marker	0.14	3/21
22678	marker	0.23	22/97
22685	marker	0.00	0/8
22692	marker	0.00	0/6
22702	marker	0.41	7/17
22748	marker	0.00	0/20
2279	marker	0.00	0/7
23034	marker	0.26	68/265
23112	marker	0.33	2/6
23125	marker	0.14	1/7
23132	marker	0.25	40/158
23166	marker	0.00	0/3
23169	marker	0.00	0/78
23181	marker	0.00	0/5
23192	marker	0.05	3/59
23228	marker	0.00	0/27
23231	marker	0.13	4/31
23264	marker	0.00	0/15
23279	marker	0.45	9/20
23295	marker	0.00	0/16
23298	marker	0.00	0/4
23300	marker	0.08	3/37
23357	marker	0.20	14/69
23395	marker	0.00	0/5
23419	marker	0.28	12/43
23436	marker	0.45	74/165
23440	id	0.00	0/53
23465	marker	0.33	5/15
23544	marker	0.40	32/80
23559	marker	0.00	0/2
2357	marker	0.44	16/36
23570	marker	0.00	0/74
23571	marker	0.14	2/14
2358	marker	0.38	14/37
23678	marker	0.36	9/25
237	marker	0.18	71/385
23740	marker	0.15	7/46
23811	marker	0.00	0/6
23887	marker	0.00	0/4
23889	marker	0.21	3/14
23904	marker	0.28	7/25
2397	marker	0.33	10/30
24010	marker	0.33	8/24
24036	marker	0.12	2/17
24170	marker	0.01	4/277
24341	marker	0.16	3/19
24360	marker	0.39	28/72
24381	marker	0.33	4/12
24385	marker	0.00	0/5
24400	marker	0.03	98/3304
24430	marker	0.37	7/19
24517	marker	0.33	7/21
24518	marker	0.47	14/30
24523	marker	0.00	0/5
24532	marker	0.00	0/5
24557	marker	0.44	8/18
24657	marker	0.00	0/3
2475	marker	0.25	10/40
24753	marker	0.46	66/142
24760	marker	0.33	19/57
24784	marker	0.27	8/30
24799	marker	0.00	0/5
24802	marker	0.46	30/65
24803	marker	0.17	18/106
24815	marker	0.16	85/537
24854	marker	0.11	1/9
24948	marker	0.14	2/14
25189	marker	0.41	7/17
2525	id	0.25	1/4
25333	marker	0.00	0/60
25572	marker	0.32	277/879
25619	marker	0.33	3/9
25674	marker	0.28	8/29
25823	marker	0.12	7/59
25899	marker	0.05	13/265
25964	marker	0.06	8/145
26003	marker	0.00	0/3
26113	marker	0.36	8/22
26129	marker	0.19	6/31
26215	marker	0.18	35/191
26227	marker	0.10	23/234
26485	marker	0.40	2/5
26599	marker	0.48	10/21
26602	marker	0.00	0/3
2670	marker	0.13	23/176
2715	marker	0.40	4/10
27242	marker	0.03	5/171
2728	marker	0.17	13/78
27282	marker	0.29	4/14
27298	marker	0.11	4/38
27311	marker	0.01	6/670
27451	marker	0.02	3/129
27790	marker	0.33	10/30
27900	marker	0.43	10/23
27929	marker	0.00	0/4
27987	marker	0.43	3/7
28085	marker	0.10	73/754
2809	marker	0.21	7/34
2940	marker	0.31	58/185
30542	id	0.14	1/7
30673	id	0.00	0/57
30825	marker	0.29	52/177
30834	marker	0.36	4/11
30997	marker	0.38	6/16
31107	marker	0.27	7/26
3139	marker	0.45	29/64
32610	marker	0.37	13/35
35563	marker	0.21	31/149
3614	marker	0.06	9/139
36896	marker	0.25	16/64
3716	marker	0.45	33/73
37520	marker	0.00	0/883
37591	id	0.23	13/56
37941	marker	0.00	0/6
38263	marker	0.16	180/1095
38531	marker	0.31	85/274
4063	marker	0.26	49/187
41030	marker	0.00	0/2
4118	marker	0.40	6/15
4128	marker	0.13	11/84
4146	marker	0.00	0/5
41602	marker	0.43	16/37
4166	marker	0.33	24/72
42837	marker	0.00	0/4
42957	marker	0.17	3/18
44248	marker	0.14	12/86
44273	marker	0.47	19/40
44611	marker	0.45	15/33
45069	marker	0.42	14/33
454	marker	0.40	10/25
46688	marker	0.10	2/20
47434	id	0.00	0/17
47435	id	0.00	0/35
48012	marker	0.17	5/30
48245	marker	0.15	8/53
51090	marker	0.00	0/4
5267	marker	0.06	8/127
5579	marker	0.27	49/179
55837	marker	0.00	0/1
55875	marker	0.17	5/29
5603	marker	0.34	35/104
56709	id	0.33	1/3
5679	marker	0.12	33/264
5687	marker	0.30	60/198
56942	marker	0.35	27/77
5717	id	0.33	1/3
57241	marker	0.25	1/4
5767	marker	0.21	8/38
58139	marker	0.43	3/7
5837	marker	0.32	174/543
5894	marker	0.00	0/5
5944	marker	0.41	12/29
59561	marker	0.23	21/92
5967	id	0.33	1/3
5968	marker	0.04	8/196
5971	marker	0.22	2/9
5974	marker	0.20	1/5
5978	marker	0.40	6/15
6015	marker	0.40	12/30
60426	id	0.00	0/38
6143	marker	0.40	6/15
6187	marker	0.40	8/20
6248	marker	0.31	5/16
6253	marker	0.33	2/6
6269	marker	0.21	52/250
6284	marker	0.00	0/23
6322	marker	0.09	4/47
6358	marker	0.00	0/3
6361	marker	0.10	1/10
6371	id	0.33	1/3
6416	marker	0.00	0/5
6427	marker	0.30	18/61
6461	marker	0.11	16/140
6472	marker	0.43	16/37
6475	marker	0.00	0/8
6488	marker	0.00	0/9
6494	marker	0.20	18/91
6522	marker	0.36	12/33
6524	marker	0.31	10/32
6557	id	0.00	0/132
6656	id	0.33	1/3
6657	marker	0.22	6/27
6673	marker	0.49	191/389
6685	marker	0.32	7/22
6687	marker	0.00	0/4
6690	marker	0.14	2/14
6692	id	0.20	1/5
6700	marker	0.00	0/3
67032	marker	0.00	0/3
67154	id	0.00	0/137
6756	marker	0.48	10/21
6802	marker	0.00	0/7
68047	marker	0.00	0/18
6964	marker	0.33	4/12
7079	id	0.25	1/4
709	marker	0.00	0/20
7166	id	0.33	1/3
7232	marker	0.40	2/5
7250	marker	0.25	7/28
7271	marker	0.00	0/6
7334	marker	0.13	7/52
7382	marker	0.16	19/120
7388	id	0.33	1/3
7400	marker	0.30	6/20
7410	marker	0.42	13/31
75120	id	0.20	1/5
75150	id	0.20	1/5
75162	id	0.17	1/6
75236	id	0.20	1/5
75243	id	0.33	1/3
75391	id	0.25	1/4
75396	id	0.25	1/4
75463	id	0.33	1/3
7549	marker	0.30	19/63
75548	id	0.33	1/3
7569	marker	0.01	37/2526
7584	marker	0.33	12/36
7590	marker	0.03	17/616
7613	marker	0.38	63/167
7644	marker	0.44	4/9
7667	marker	0.25	1/4
7691	marker	0.12	20/168
76955	marker	0.16	24/153
77240	id	0.25	1/4
7729	marker	0.40	8/20
77362	marker	0.18	7/38
77406	marker	0.23	33/142
77453	id	0.12	1/8
77611	marker	0.43	3/7
77829	id	0.17	1/6
77938	id	0.20	1/5
7807	marker	0.06	3/48
78167	id	0.25	1/4
7832	marker	0.00	0/9
78354	marker	0.40	4/10
78580	marker	0.40	10/25
78585	marker	0.17	9/54
7860	marker	0.47	21/45
7865	marker	0.43	10/23
7885	marker	0.23	7/30
79776	marker	0.00	0/5
79805	marker	0.26	6/23
80432	marker	0.33	10/30
80438	marker	0.21	7/33
80507	marker	0.43	20/47
80574	marker	0.00	0/6
80672	marker	0.00	0/3
8084	marker	0.01	3/379
